OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-04-09,8,0,2024-04-09T14:00:00-00:00,2024-04-09T15:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4416.98566,ACTUAL,3
2024-04-09,19,0,2024-04-10T01:00:00-00:00,2024-04-10T02:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,2511.15607,ACTUAL,3
2024-04-09,2,0,2024-04-09T08:00:00-00:00,2024-04-09T09:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-36.58697,ACTUAL,3
2024-04-09,11,0,2024-04-09T17:00:00-00:00,2024-04-09T18:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8661.57169,ACTUAL,3
2024-04-09,16,0,2024-04-09T22:00:00-00:00,2024-04-09T23:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8331.40513,ACTUAL,3
2024-04-09,12,0,2024-04-09T18:00:00-00:00,2024-04-09T19:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,213.60617,ACTUAL,4
2024-04-09,13,0,2024-04-09T19:00:00-00:00,2024-04-09T20:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,117.42412,ACTUAL,4
2024-04-09,14,0,2024-04-09T20:00:00-00:00,2024-04-09T21:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,74.3965,ACTUAL,4
2024-04-09,15,0,2024-04-09T21:00:00-00:00,2024-04-09T22:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,54.67193,ACTUAL,4
2024-04-09,16,0,2024-04-09T22:00:00-00:00,2024-04-09T23:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,108.6455,ACTUAL,4
2024-04-09,17,0,2024-04-09T23:00:00-00:00,2024-04-10T00:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,186.47637,ACTUAL,4
2024-04-09,18,0,2024-04-10T00:00:00-00:00,2024-04-10T01:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,416.30057,ACTUAL,4
2024-04-09,19,0,2024-04-10T01:00:00-00:00,2024-04-10T02:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,815.37655,ACTUAL,4
2024-04-09,1,0,2024-04-09T07:00:00-00:00,2024-04-09T08:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1029.31277,ACTUAL,4
2024-04-09,2,0,2024-04-09T08:00:00-00:00,2024-04-09T09:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,758.46106,ACTUAL,4
2024-04-09,3,0,2024-04-09T09:00:00-00:00,2024-04-09T10:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,545.43499,ACTUAL,4
2024-04-09,4,0,2024-04-09T10:00:00-00:00,2024-04-09T11:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,510.33209,ACTUAL,4
2024-04-09,5,0,2024-04-09T11:00:00-00:00,2024-04-09T12:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,443.71771,ACTUAL,4
2024-04-09,6,0,2024-04-09T12:00:00-00:00,2024-04-09T13:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,353.84818,ACTUAL,4
2024-04-09,7,0,2024-04-09T13:00:00-00:00,2024-04-09T14:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,339.50859,ACTUAL,4
2024-04-09,8,0,2024-04-09T14:00:00-00:00,2024-04-09T15:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,146.83697,ACTUAL,4
2024-04-09,9,0,2024-04-09T15:00:00-00:00,2024-04-09T16:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,132.66132,ACTUAL,4
2024-04-09,10,0,2024-04-09T16:00:00-00:00,2024-04-09T17:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,259.93615,ACTUAL,4
2024-04-09,11,0,2024-04-09T17:00:00-00:00,2024-04-09T18:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,328.96715,ACTUAL,4
2024-04-09,11,0,2024-04-09T17:00:00-00:00,2024-04-09T18:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1211.70704,ACTUAL,5
2024-04-09,1,0,2024-04-09T07:00:00-00:00,2024-04-09T08:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.18663,ACTUAL,5
2024-04-09,10,0,2024-04-09T16:00:00-00:00,2024-04-09T17:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1439.99245,ACTUAL,5
2024-04-09,9,0,2024-04-09T15:00:00-00:00,2024-04-09T16:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1207.17472,ACTUAL,5
2024-04-09,8,0,2024-04-09T14:00:00-00:00,2024-04-09T15:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,691.21588,ACTUAL,5
2024-04-09,7,0,2024-04-09T13:00:00-00:00,2024-04-09T14:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,14.60695,ACTUAL,5
2024-04-09,6,0,2024-04-09T12:00:00-00:00,2024-04-09T13:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.38717,ACTUAL,5
2024-04-09,5,0,2024-04-09T11:00:00-00:00,2024-04-09T12:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.26573,ACTUAL,5
2024-04-09,4,0,2024-04-09T10:00:00-00:00,2024-04-09T11:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.28767,ACTUAL,5
2024-04-09,3,0,2024-04-09T09:00:00-00:00,2024-04-09T10:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.96007,ACTUAL,5
2024-04-09,2,0,2024-04-09T08:00:00-00:00,2024-04-09T09:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-7.21427,ACTUAL,5
2024-04-09,19,0,2024-04-10T01:00:00-00:00,2024-04-10T02:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,716.62108,ACTUAL,5
2024-04-09,18,0,2024-04-10T00:00:00-00:00,2024-04-10T01:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1621.16858,ACTUAL,5
2024-04-09,17,0,2024-04-09T23:00:00-00:00,2024-04-10T00:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1729.80916,ACTUAL,5
2024-04-09,16,0,2024-04-09T22:00:00-00:00,2024-04-09T23:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1271.44636,ACTUAL,5
2024-04-09,15,0,2024-04-09T21:00:00-00:00,2024-04-09T22:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,972.95702,ACTUAL,5
2024-04-09,14,0,2024-04-09T20:00:00-00:00,2024-04-09T21:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1052.55036,ACTUAL,5
2024-04-09,13,0,2024-04-09T19:00:00-00:00,2024-04-09T20:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1054.92312,ACTUAL,5
2024-04-09,12,0,2024-04-09T18:00:00-00:00,2024-04-09T19:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,960.601,ACTUAL,5
2024-04-09,1,0,2024-04-09T07:00:00-00:00,2024-04-09T08:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,54.6469,ACTUAL,6
2024-04-09,11,0,2024-04-09T17:00:00-00:00,2024-04-09T18:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1.22647,ACTUAL,6
2024-04-09,19,0,2024-04-10T01:00:00-00:00,2024-04-10T02:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,47.44776,ACTUAL,6
2024-04-09,5,0,2024-04-09T11:00:00-00:00,2024-04-09T12:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,13.57181,ACTUAL,6
2024-04-09,18,0,2024-04-10T00:00:00-00:00,2024-04-10T01:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,22.54462,ACTUAL,6
2024-04-09,7,0,2024-04-09T13:00:00-00:00,2024-04-09T14:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,8.73763,ACTUAL,6
2024-04-09,17,0,2024-04-09T23:00:00-00:00,2024-04-10T00:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,9.28652,ACTUAL,6
2024-04-09,4,0,2024-04-09T10:00:00-00:00,2024-04-09T11:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,24.13005,ACTUAL,6
2024-04-09,16,0,2024-04-09T22:00:00-00:00,2024-04-09T23:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,2.19324,ACTUAL,6
2024-04-09,8,0,2024-04-09T14:00:00-00:00,2024-04-09T15:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,8.13652,ACTUAL,6
2024-04-09,15,0,2024-04-09T21:00:00-00:00,2024-04-09T22:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1.67314,ACTUAL,6
2024-04-09,3,0,2024-04-09T09:00:00-00:00,2024-04-09T10:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,39.02338,ACTUAL,6
2024-04-09,14,0,2024-04-09T20:00:00-00:00,2024-04-09T21:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,0.08682,ACTUAL,6
2024-04-09,6,0,2024-04-09T12:00:00-00:00,2024-04-09T13:00:00-00:00,ZP26,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,8.40855,ACTUAL,6
